Week,Match 1,Match 2,Match 3,Match 4,,,
1,Sandwiche vs. Bacon,Jay vs. Josh,Jenna vs. Julie,Whyme vs. Heez,,,
2,Sandwiche vs. Jenna,Jay vs. Whyme,Josh vs. Heez,Bacon vs. Julie,,,
3,Sandwiche vs. Whyme,Jay vs. Jenna,Josh vs. Julie,Bacon vs. Heez,,,
4,Sandwiche vs. Josh,Jay vs. Bacon,Jenna vs. Heez,Whyme vs. Julie,,,
5,Sandwiche vs. Jay,Jenna vs. Whyme,Josh vs. Bacon,Heez vs. Julie,,,
6,Sandwiche vs. Heez,Jay vs. Julie,Jenna vs. Josh,Whyme vs. Bacon,,,
7,Sandwiche vs. Julie,Jay vs. Heez,Jenna vs. Bacon,Whyme vs. Josh,,,
8,Sandwiche vs. Jay,Josh vs. Bacon,Jenna vs. Whyme,Heez vs. Julie,,,
9,Sandwiche vs. Jenna,Josh vs. Heez,Jay vs. Whyme,Bacon vs. Julie,,,
10,Sandwiche vs. Whyme,Josh vs. Julie,Jay vs. Jenna,Bacon vs. Heez,,,
